requestData	examination_paper	resultData	开始时间	结束时间	运行时间
{'examinationPaper': '化学试题1 配置100克5%的氯化钠溶液', 'answerDict': {'1': '5', '2': '95'}}	化学试题1 配置100克5%的氯化钠溶液	{'examinationPaper': '化学试题1 配置100克5%的氯化钠溶液', 'answerDict': {'1': '5', '2': '95'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '溶质质量=溶液质量×溶质质量分数；溶剂质量=溶液质量-溶质质量；读取液体体积；误差允许在±1以内。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '溶质质量=溶液质量×溶质质量分数；溶剂质量=溶液质量-溶质质量；读取液体体积；误差允许在±1以内。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '计算正确得1分。', 'gap': [1, 2]}}}	2022-07-01 14:36:14.154796	2022-07-01 14:36:14.165762	0:00:00.010966
{'examinationPaper': '化学试题3 鉴别硬水和软水并软化硬水', 'answerDict': {'1': '浮渣较少的是软水，浮渣较多的是硬水'}}	化学试题3 鉴别硬水和软水并软化硬水	{'examinationPaper': '化学试题3 鉴别硬水和软水并软化硬水', 'answerDict': {'1': '浮渣较少的是软水，浮渣较多的是硬水'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '浮渣较多的为硬水，无浮渣或者浮渣较少的为软水。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '正确记录实验现象得1分。', 'gap': [1]}}}	2022-07-01 14:36:14.165762	2022-07-01 14:36:14.887831	0:00:00.722069
{'examinationPaper': '化学试题5 氧气的实验室制取-装置组装', 'answerDict': {'1': '2KMnO【&sub4】￥￥=【&condition加热】￥￥K【&sub2】MnO【&sub4】&&+&&MnO【&sub2】&&+&&O【&sub2】↑'}}	化学试题5 氧气的实验室制取-装置组装	{'examinationPaper': '化学试题5 氧气的实验室制取-装置组装', 'answerDict': {'1': '2KMnO【&sub4】￥￥=【&condition加热】￥￥K【&sub2】MnO【&sub4】&&+&&MnO【&sub2】&&+&&O【&sub2】↑'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '高锰酸钾在加热条件下会有氧气产生。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '正确书写化学方程式得1分。', 'gap': [1]}}}	2022-07-01 14:36:14.887831	2022-07-01 14:36:14.892817	0:00:00.004986
{'examinationPaper': '化学试题6 物理变化与化学变化的探究', 'answerDict': {'1': '物理', '2': '蓝色沉淀', '3': '化学', '4': '2NaOH&&+&&CuSO【&sub4】￥￥=【&condition】￥￥Cu(OH)【&sub2】↓&&+&&Na【&sub2】SO【&sub4】'}}	化学试题6 物理变化与化学变化的探究	{'examinationPaper': '化学试题6 物理变化与化学变化的探究', 'answerDict': {'1': '物理', '2': '蓝色沉淀', '3': '化学', '4': '2NaOH&&+&&CuSO【&sub4】￥￥=【&condition】￥￥Cu(OH)【&sub2】↓&&+&&Na【&sub2】SO【&sub4】'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '给水加热，玻璃片上有水珠生成(水雾)为物理变化。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '氢氧化钠溶液滴入少量硫酸铜溶液，现象为有“蓝色沉淀”现象产生。属于化学反应。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '氢氧化钠溶液滴入少量硫酸铜溶液，现象为有“蓝色沉淀”现象产生。属于化学反应。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '氢氧化钠溶液和硫酸铜溶液反应会生产氢氧化铜和硫酸钠，其中氢氧化铜为沉淀物。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '步骤“3”正确填空得1分。', 'gap': [1]}, 'score_point_2': {'score': '1分', 'instructions': '步骤“4”正确填空得1分。', 'gap': [2, 3]}, 'score_point_3': {'score': '1分', 'instructions': '正确书写化学方程式得1分。', 'gap': [4]}}}	2022-07-01 14:36:14.892817	2022-07-01 14:36:15.326657	0:00:00.433840
{'examinationPaper': '化学试题7 用铁和硫酸铜溶液反应验证质量守恒定律', 'answerDict': {'1': '139.2', '2': '139.2', '3': '铁钉表面生成红色固体物质，天平平衡', '4': '一样', '5': 'Fe&&+&&CuSO【&sub4】￥￥=【&condition】￥￥FeSO【&sub4】&&+&&Cu'}}	化学试题7 用铁和硫酸铜溶液反应验证质量守恒定律	{'examinationPaper': '化学试题7 用铁和硫酸铜溶液反应验证质量守恒定律', 'answerDict': {'1': 139.2, '2': 139.2, '3': '铁钉表面生成红色固体物质，天平平衡', '4': '一样', '5': 'Fe&&+&&CuSO【&sub4】￥￥=【&condition】￥￥FeSO【&sub4】&&+&&Cu'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '铁和硫酸铜溶液反应不会产生气体，所以反应前后的总质量保持不变。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '铁和硫酸铜溶液反应不会产生气体，所以反应前后的总质量保持不变。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '铁和硫酸铜溶液反应不会产生气体，所以反应前后的总质量保持不变。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '铁和硫酸铜溶液反应不会产生气体，所以反应前后的总质量保持不变。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '铁和硫酸铜溶液反应会生成硫酸铁和铜。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '步骤“2”和步骤“4”正确填空得1分。', 'gap': [1, 2]}, 'score_point_2': {'score': '1分', 'instructions': '步骤“5”正确填空得1分。', 'gap': [3, 4]}, 'score_point_3': {'score': '1分', 'instructions': '正确书写化学方程式得1分。', 'gap': [5]}}}	2022-07-01 14:36:15.326657	2022-07-01 14:36:16.493924	0:00:01.167267
{'examinationPaper': '化学试题8 鉴别稀硫酸、氢氧化钠、碳酸钠、氯化钠溶液', 'answerDict': {'1': 'NaCl', '2': 'H【&sub2】SO【&sub4】', '3': '气泡', '4': 'Na【&sub2】CO【&sub3】', '5': 'Na【&sub2】CO【&sub3】&&+&&2HCl￥￥=【&condition】￥￥2NaCl&&+&&H【&sub2】O&&+&&CO【&sub2】↑', '6': 'NaCl', '7': 'Na【&sub2】CO【&sub3】', '8': 'H【&sub2】SO【&sub4】', '9': 'NaOH'}}	化学试题8 鉴别稀硫酸、氢氧化钠、碳酸钠、氯化钠溶液	{'examinationPaper': '化学试题8 鉴别稀硫酸、氢氧化钠、碳酸钠、氯化钠溶液', 'answerDict': {'1': 'NaCl', '2': 'H【&sub2】SO【&sub4】', '3': '气泡', '4': 'Na【&sub2】CO【&sub3】', '5': 'Na【&sub2】CO【&sub3】&&+&&2HCl￥￥=【&condition】￥￥2NaCl&&+&&H【&sub2】O&&+&&CO【&sub2】↑', '6': 'NaCl', '7': 'Na【&sub2】CO【&sub3】', '8': 'H【&sub2】SO【&sub4】', '9': 'NaOH'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '氯化钠溶液是中性溶液，PH值无明显变化的是中性溶液。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '稀硫酸溶液是酸性溶液，PH值小于7的是酸性溶液。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '碳酸钠和稀盐酸反应会生成二氧化碳气体，所以会有气泡产生'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '碳酸钠和稀盐酸反应会生成二氧化碳气体，所以会有气泡产生。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '碳酸钠和稀盐酸反应生成氯化钠、水和二氧化碳气体。'}, '6': {'judge': '正确', 'score': '1分', 'analysis': '氯化钠溶液是中性溶液，稀硫酸溶液是酸性溶液，氢氧化钠溶液和碳酸钠溶液是碱性溶液。PH值大于7的是碱性溶液，PH值小于7的是酸性溶液。'}, '7': {'judge': '正确', 'score': '1分', 'analysis': '氯化钠溶液是中性溶液，稀硫酸溶液是酸性溶液，氢氧化钠溶液和碳酸钠溶液是碱性溶液。PH值大于7的是碱性溶液，PH值小于7的是酸性溶液。'}, '8': {'judge': '正确', 'score': '1分', 'analysis': '氯化钠溶液是中性溶液，稀硫酸溶液是酸性溶液，氢氧化钠溶液和碳酸钠溶液是碱性溶液。PH值大于7的是碱性溶液，PH值小于7的是酸性溶液。'}, '9': {'judge': '正确', 'score': '1分', 'analysis': '氯化钠溶液是中性溶液，稀硫酸溶液是酸性溶液，氢氧化钠溶液和碳酸钠溶液是碱性溶液。PH值大于7的是碱性溶液，PH值小于7的是酸性溶液。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '步骤“3”正确填空得1分。', 'gap': [1, 2]}, 'score_point_2': {'score': '1分', 'instructions': '步骤“5”正确填空得1分。', 'gap': [3, 4]}, 'score_point_3': {'score': '1分', 'instructions': '正确书写化学方程式得1分。', 'gap': [5]}, 'score_point_4': {'score': '1分', 'instructions': '步骤“7”正确填空得1分。', 'gap': [6, 7, 8, 9]}}}	2022-07-01 14:36:16.493924	2022-07-01 14:36:16.608617	0:00:00.114693
{'examinationPaper': '化学试题9 酸和碱的化学性质', 'answerDict': {'1': '变红', '2': '不变色', '3': '变蓝', '4': '变红', '5': '有蓝色固体', '6': '2NaOH&&+&&CuSO【&sub4】￥￥=【&condition】￥￥Cu(OH)【&sub2】↓&&+&&Na【&sub2】SO【&sub4】', '7': '无沉淀，溶液由无色变蓝色', '8': 'Cu(OH)【&sub2】&&+&&2HCl￥￥=【&condition】￥￥CuCl【&sub2】&&+&&2H【&sub2】O'}}	化学试题9 酸和碱的化学性质	{'examinationPaper': '化学试题9 酸和碱的化学性质', 'answerDict': {'1': '变红', '2': '不变色', '3': '变蓝', '4': '变红', '5': '有蓝色固体', '6': '2NaOH&&+&&CuSO【&sub4】￥￥=【&condition】￥￥Cu(OH)【&sub2】↓&&+&&Na【&sub2】SO【&sub4】', '7': '无沉淀，溶液由无色变蓝色', '8': 'Cu(OH)【&sub2】&&+&&2HCl￥￥=【&condition】￥￥CuCl【&sub2】&&+&&2H【&sub2】O'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '紫色石蕊遇酸变红,遇碱变蓝,遇呈碱性盐变蓝,遇中性盐不变色。 无色酚酞遇酸不变,遇碱变红,遇呈碱性盐变红,遇中性盐不变色。'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '紫色石蕊遇酸变红,遇碱变蓝,遇呈碱性盐变蓝,遇中性盐不变色。 无色酚酞遇酸不变,遇碱变红,遇呈碱性盐变红,遇中性盐不变色。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '紫色石蕊遇酸变红,遇碱变蓝,遇呈碱性盐变蓝,遇中性盐不变色。 无色酚酞遇酸不变,遇碱变红,遇呈碱性盐变红,遇中性盐不变色。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '紫色石蕊遇酸变红,遇碱变蓝,遇呈碱性盐变蓝,遇中性盐不变色。 无色酚酞遇酸不变,遇碱变红,遇呈碱性盐变红,遇中性盐不变色。'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '紫色石蕊遇酸变红,遇碱变蓝,遇呈碱性盐变蓝,遇中性盐不变色。 无色酚酞遇酸不变,遇碱变红,遇呈碱性盐变红,遇中性盐不变色。'}, '6': {'judge': '正确', 'score': '1分', 'analysis': '氢氧化钠溶液和硫酸铜溶液反应会生产氢氧化铜和硫酸钠，其中氢氧化铜为蓝色沉淀物。'}, '7': {'judge': '正确', 'score': '1分', 'analysis': '紫色石蕊遇酸变红,遇碱变蓝,遇呈碱性盐变蓝,遇中性盐不变色。 无色酚酞遇酸不变,遇碱变红,遇呈碱性盐变红,遇中性盐不变色。硫酸铜溶液是呈蓝色，氢氧化铜是蓝色沉淀。'}, '8': {'judge': '正确', 'score': '1分', 'analysis': '氢氧化铜和稀盐酸反应会生成氯化铜和水，沉淀物会消失。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '步骤“3”中前两空正确得1分。', 'gap': [1, 2]}, 'score_point_2': {'score': '1分', 'instructions': '步骤“3”后两空正确得1分。', 'gap': [3, 4]}, 'score_point_3': {'score': '1分', 'instructions': '正确记录步骤“4”实验现象得1分。', 'gap': [5]}, 'score_point_4': {'score': '1分', 'instructions': '正确书写步骤“4”化学方程式得1分。', 'gap': [6]}, 'score_point_5': {'score': '1分', 'instructions': '正确书写步骤“5”实验现象得1分。', 'gap': [7]}, 'score_point_6': {'score': '1分', 'instructions': '正确书写步骤“5”化学方程式得1分。', 'gap': [8]}}}	2022-07-01 14:36:16.608617	2022-07-01 14:36:17.651065	0:00:01.042448
{'examinationPaper': '化学试题10 探究盐酸中哪种粒子使紫色石蕊溶液变红色', 'answerDict': {'1': 'H【&sup+】,Cl【&sup-】,H【&sub2】O,', '2': '溶液变红', '3': 'H【&sup+】', '4': 'Na【&sup+】和Cl【&sup-】和H【&sub2】O', '5': '无明显变化'}}	化学试题10 探究盐酸中哪种粒子使紫色石蕊溶液变红色	{'examinationPaper': '化学试题10 探究盐酸中哪种粒子使紫色石蕊溶液变红色', 'answerDict': {'1': 'H【&sup+】,Cl【&sup-】,H【&sub2】O,', '2': '溶液变红', '3': 'H【&sup+】', '4': 'Na【&sup+】和Cl【&sup-】和H【&sub2】O', '5': '无明显变化'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '稀盐酸中的粒子：H⁺、Cl⁻、H₂O'}, '2': {'judge': '正确', 'score': '1分', 'analysis': '稀盐酸、氢氧化钠等物质的组成粒子中，只有氢离子可使石蕊溶液变红。'}, '3': {'judge': '正确', 'score': '1分', 'analysis': '稀盐酸、氢氧化钠等物质的组成粒子中，只有氢离子可使石蕊溶液变红。'}, '4': {'judge': '正确', 'score': '1分', 'analysis': '氯化钠溶液中的粒子：Na⁺、Cl⁻、H₂O'}, '5': {'judge': '正确', 'score': '1分', 'analysis': '稀盐酸、氢氧化钠等物质的组成粒子中，只有氢离子可使石蕊溶液变红。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '步骤“1”正确填空得1分。', 'gap': [1]}, 'score_point_2': {'score': '1分', 'instructions': '步骤“2”正确填空得1分。', 'gap': [2]}, 'score_point_3': {'score': '1分', 'instructions': '步骤“3”正确填空得1分。', 'gap': [3]}, 'score_point_4': {'score': '1分', 'instructions': '步骤“4”正确填空得1分。', 'gap': [4]}, 'score_point_5': {'score': '1分', 'instructions': '步骤“5”正确填空得1分。', 'gap': [5]}}}	2022-07-01 14:36:17.651065	2022-07-01 14:36:18.311299	0:00:00.660234
{'examinationPaper': '化学试题11 不饱和溶液转化为饱和溶液', 'answerDict': {'1': '降温冷却'}}	化学试题11 不饱和溶液转化为饱和溶液	{'examinationPaper': '化学试题11 不饱和溶液转化为饱和溶液', 'answerDict': {'1': '降温冷却'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '不饱和溶液变成饱和溶液的三个方法，首先是改变温度；其次是增加溶质；最后就是让溶剂挥发。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '步骤“5”正确填空得1分。', 'gap': [1]}}}	2022-07-01 14:36:18.311299	2022-07-01 14:36:19.011427	0:00:00.700128
{'examinationPaper': '化学试题12 稀盐酸除铁锈', 'answerDict': {'1': '铁锈消失，溶液变为黄色', '2': 'Fe【&sub2】O【&sub3】&&+&&6HCl￥￥=【&condition】￥￥2FeCl【&sub3】+3H【&sub2】O'}}	化学试题12 稀盐酸除铁锈	{'examinationPaper': '化学试题12 稀盐酸除铁锈', 'answerDict': {'1': '铁锈消失，溶液变为黄色', '2': 'Fe【&sub2】O【&sub3】&&+&&6HCl￥￥=【&condition】￥￥2FeCl【&sub3】+3H【&sub2】O'}, 'result': {'1': {'judge': '正确', 'score': '1分', 'analysis': '铁锈消失，溶液变为黄色。'}, '2': {'judge': '错误', 'score': '0分', 'analysis': '三氧化二铁和稀盐酸反应会生成氯化铁和水。'}}, 'scoreStrategy': {'score_point_1': {'score': '1分', 'instructions': '步骤“3”正确记录实验现象得1分。', 'gap': [1]}, 'score_point_2': {'score': '0分', 'instructions': '正确书写化学方程式得1分。', 'gap': [2]}}}	2022-07-01 14:36:19.011427	2022-07-01 14:36:19.575679	0:00:00.564252
